industry,Long,Short,Total,Start,End
Airlines,42354686.89999999,-13434255.049999999,28920431.849999994,2019-10-01,2019-10-31
Travel / Leisure,16718137.59000002,-1184215.47,15533922.12000002,2019-10-01,2019-10-31
Healthcare,6363270.0,-0.3399999999999998,6363269.66,2019-10-01,2019-10-31
Digital Media,2373225.4499999927,-35500.0,2337725.4499999927,2019-10-01,2019-10-31
Financials,2675384.88,-964652.54,1710732.3399999999,2019-10-01,2019-10-31
Technology,622092.52,,622092.52,2019-10-01,2019-10-31
Retail,326616.26,,326616.26,2019-10-01,2019-10-31
Industrials,0.0,,0.0,2019-10-01,2019-10-31
Oil & Gas,-2578899.7499999995,,-2578899.7499999995,2019-10-01,2019-10-31
Other,852862.6800000004,-9204337.379999999,-8351474.699999998,2019-10-01,2019-10-31
